,Unnamed: 0,store_nbr,family,order,seasonal_order
16,16,6,HOME AND KITCHEN II,"(1, 0, 2)","(0, 0, 0, 0)"
17,17,6,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,6,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,6,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,6,LAWN AND GARDEN,"(2, 1, 2)","(1, 0, 1, 7)"
21,21,6,LINGERIE,"(1, 0, 2)","(0, 0, 0, 0)"
22,22,6,"LIQUOR,WINE,BEER","(4, 0, 0)","(0, 0, 0, 0)"
23,23,6,MAGAZINES,"(3, 1, 1)","(1, 0, 1, 7)"
24,24,6,MEATS,"(4, 0, 4)","(0, 0, 0, 0)"
25,25,6,PERSONAL CARE,"(1, 0, 2)","(0, 0, 0, 0)"
26,26,6,PET SUPPLIES,"(4, 0, 4)","(0, 0, 0, 0)"
27,27,6,PLAYERS AND ELECTRONICS,"(4, 0, 4)","(0, 0, 0, 0)"
28,28,6,POULTRY,"(1, 1, 0)","(2, 0, 1, 7)"
29,29,6,PREPARED FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
30,30,6,PRODUCE,"(4, 0, 4)","(0, 0, 0, 0)"
31,31,6,SCHOOL AND OFFICE SUPPLIES,"(3, 0, 2)","(0, 0, 0, 0)"
32,32,6,SEAFOOD,"(4, 0, 3)","(0, 0, 0, 0)"
0,0,7,AUTOMOTIVE,"(2, 0, 1)","(0, 0, 0, 0)"
1,1,7,BABY CARE,"(4, 0, 1)","(0, 0, 0, 0)"
2,2,7,BEAUTY,"(1, 0, 2)","(0, 0, 0, 0)"
3,3,7,BEVERAGES,"(2, 1, 1)","(2, 0, 1, 7)"
4,4,7,BOOKS,"(2, 0, 2)","(0, 0, 0, 0)"
5,5,7,BREAD/BAKERY,"(2, 1, 1)","(2, 0, 1, 7)"
6,6,7,CELEBRATION,"(2, 1, 3)","(1, 0, 1, 7)"
7,7,7,CLEANING,"(1, 0, 4)","(0, 0, 0, 0)"
8,8,7,DAIRY,"(2, 1, 4)","(2, 0, 2, 7)"
9,9,7,DELI,"(3, 0, 4)","(0, 0, 0, 0)"
10,10,7,EGGS,"(1, 0, 4)","(0, 0, 0, 0)"
11,11,7,FROZEN FOODS,"(2, 0, 1)","(0, 0, 0, 0)"
12,12,7,GROCERY I,"(4, 0, 4)","(0, 0, 0, 0)"
13,13,7,GROCERY II,"(2, 0, 1)","(0, 0, 0, 0)"
14,14,7,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,7,HOME AND KITCHEN I,"(4, 0, 1)","(0, 0, 0, 0)"
16,16,7,HOME AND KITCHEN II,"(3, 0, 1)","(0, 0, 0, 0)"
17,17,7,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,7,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,7,LADIESWEAR,"(1, 0, 2)","(0, 0, 0, 0)"
20,20,7,LAWN AND GARDEN,"(0, 1, 3)","(1, 0, 2, 7)"
21,21,7,LINGERIE,"(2, 0, 2)","(0, 0, 0, 0)"
22,22,7,"LIQUOR,WINE,BEER","(4, 0, 0)","(0, 0, 0, 0)"
23,23,7,MAGAZINES,"(3, 1, 1)","(1, 0, 1, 7)"
24,24,7,MEATS,"(4, 0, 3)","(0, 0, 0, 0)"
25,25,7,PERSONAL CARE,"(2, 0, 4)","(0, 0, 0, 0)"
26,26,7,PET SUPPLIES,"(1, 1, 1)","(2, 0, 0, 7)"
27,27,7,PLAYERS AND ELECTRONICS,"(2, 0, 2)","(0, 0, 0, 0)"
28,28,7,POULTRY,"(3, 1, 3)","(1, 0, 1, 7)"
29,29,7,PREPARED FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
30,30,7,PRODUCE,"(4, 0, 3)","(0, 0, 0, 0)"
31,31,7,SCHOOL AND OFFICE SUPPLIES,"(2, 0, 2)","(0, 0, 0, 0)"
32,32,7,SEAFOOD,"(4, 0, 4)","(0, 0, 0, 0)"
0,0,8,AUTOMOTIVE,"(1, 0, 3)","(0, 0, 0, 0)"
1,1,8,BABY CARE,"(2, 1, 3)","(1, 0, 1, 7)"
2,2,8,BEAUTY,"(1, 1, 4)","(1, 0, 1, 7)"
3,3,8,BEVERAGES,"(4, 0, 4)","(0, 0, 0, 0)"
4,4,8,BOOKS,"(1, 0, 1)","(0, 0, 0, 0)"
5,5,8,BREAD/BAKERY,"(1, 1, 3)","(0, 0, 2, 7)"
6,6,8,CELEBRATION,"(3, 0, 4)","(0, 0, 0, 0)"
7,7,8,CLEANING,"(4, 0, 4)","(0, 0, 0, 0)"
8,8,8,DAIRY,"(1, 1, 0)","(1, 0, 2, 7)"
9,9,8,DELI,"(4, 0, 4)","(0, 0, 0, 0)"
10,10,8,EGGS,"(4, 0, 4)","(0, 0, 0, 0)"
11,11,8,FROZEN FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
12,12,8,GROCERY I,"(1, 0, 2)","(0, 0, 0, 0)"
13,13,8,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,8,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,8,HOME AND KITCHEN I,"(2, 0, 1)","(0, 0, 0, 0)"
16,16,8,HOME AND KITCHEN II,"(4, 0, 4)","(0, 0, 0, 0)"
17,17,8,HOME APPLIANCES,"(1, 0, 2)","(0, 0, 0, 0)"
18,18,8,HOME CARE,"(3, 0, 4)","(0, 0, 0, 0)"
19,19,8,LADIESWEAR,"(4, 0, 3)","(0, 0, 0, 0)"
20,20,8,LAWN AND GARDEN,"(1, 1, 4)","(2, 0, 2, 7)"
21,21,8,LINGERIE,"(4, 0, 1)","(0, 0, 0, 0)"
22,22,8,"LIQUOR,WINE,BEER","(4, 0, 1)","(0, 0, 0, 0)"
23,23,8,MAGAZINES,"(3, 1, 2)","(2, 0, 2, 7)"
24,24,8,MEATS,"(4, 0, 2)","(0, 0, 0, 0)"
25,25,8,PERSONAL CARE,"(1, 0, 3)","(0, 0, 0, 0)"
26,26,8,PET SUPPLIES,"(1, 1, 2)","(1, 0, 2, 7)"
27,27,8,PLAYERS AND ELECTRONICS,"(1, 0, 2)","(0, 0, 0, 0)"
28,28,8,POULTRY,"(3, 1, 0)","(1, 0, 1, 7)"
29,29,8,PREPARED FOODS,"(1, 0, 4)","(0, 0, 0, 0)"
30,30,8,PRODUCE,"(4, 0, 3)","(0, 0, 0, 0)"
31,31,8,SCHOOL AND OFFICE SUPPLIES,"(1, 0, 1)","(0, 0, 0, 0)"
32,32,8,SEAFOOD,"(2, 0, 1)","(0, 0, 0, 0)"
0,0,9,AUTOMOTIVE,"(1, 0, 3)","(0, 0, 0, 0)"
1,1,9,BABY CARE,"(1, 0, 1)","(0, 0, 0, 0)"
2,2,9,BEAUTY,"(2, 0, 1)","(0, 0, 0, 0)"
3,3,9,BEVERAGES,"(2, 1, 2)","(1, 0, 1, 7)"
4,4,9,BOOKS,-1,-1
5,5,9,BREAD/BAKERY,"(1, 0, 4)","(0, 0, 0, 0)"
6,6,9,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,9,CLEANING,"(4, 0, 0)","(0, 0, 0, 0)"
8,8,9,DAIRY,"(3, 1, 0)","(1, 0, 1, 7)"
9,9,9,DELI,"(3, 0, 4)","(0, 0, 0, 0)"
10,10,9,EGGS,"(1, 0, 4)","(0, 0, 0, 0)"
11,11,9,FROZEN FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
12,12,9,GROCERY I,"(3, 0, 1)","(0, 0, 0, 0)"
13,13,9,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,9,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,9,HOME AND KITCHEN I,"(2, 0, 2)","(0, 0, 0, 0)"
16,16,9,HOME AND KITCHEN II,"(1, 1, 3)","(2, 0, 2, 7)"
17,17,9,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,9,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,9,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,9,LAWN AND GARDEN,"(1, 0, 2)","(0, 0, 0, 0)"
21,21,9,LINGERIE,"(1, 0, 2)","(0, 0, 0, 0)"
22,22,9,"LIQUOR,WINE,BEER","(1, 0, 2)","(0, 0, 0, 0)"
23,23,9,MAGAZINES,"(4, 0, 3)","(0, 0, 0, 0)"
24,24,9,MEATS,"(3, 0, 3)","(0, 0, 0, 0)"
25,25,9,PERSONAL CARE,"(3, 0, 1)","(0, 0, 0, 0)"
26,26,9,PET SUPPLIES,"(4, 1, 1)","(1, 0, 1, 7)"
27,27,9,PLAYERS AND ELECTRONICS,"(3, 0, 2)","(0, 0, 0, 0)"
28,28,9,POULTRY,"(1, 0, 2)","(0, 0, 0, 0)"
29,29,9,PREPARED FOODS,"(1, 1, 2)","(1, 0, 1, 7)"
30,30,9,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,9,SCHOOL AND OFFICE SUPPLIES,"(3, 0, 0)","(0, 0, 0, 0)"
32,32,9,SEAFOOD,"(4, 0, 3)","(0, 0, 0, 0)"
0,0,20,AUTOMOTIVE,"(1, 1, 2)","(2, 0, 2, 7)"
1,1,20,BABY CARE,"(2, 1, 3)","(1, 0, 1, 7)"
2,2,20,BEAUTY,"(4, 1, 1)","(1, 0, 2, 7)"
3,3,20,BEVERAGES,"(1, 1, 1)","(1, 0, 1, 7)"
4,4,20,BOOKS,-1,-1
5,5,20,BREAD/BAKERY,"(1, 1, 0)","(1, 0, 1, 7)"
6,6,20,CELEBRATION,"(1, 1, 3)","(1, 0, 1, 7)"
7,7,20,CLEANING,"(4, 1, 0)","(2, 0, 1, 7)"
8,8,20,DAIRY,"(4, 1, 0)","(2, 0, 1, 7)"
9,9,20,DELI,"(1, 1, 1)","(1, 0, 1, 7)"
10,10,20,EGGS,"(0, 1, 1)","(2, 0, 1, 7)"
11,11,20,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,20,GROCERY I,"(1, 1, 1)","(1, 0, 1, 7)"
13,13,20,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,20,HARDWARE,"(2, 0, 3)","(0, 0, 0, 0)"
15,15,20,HOME AND KITCHEN I,"(2, 0, 3)","(0, 0, 0, 0)"
16,16,20,HOME AND KITCHEN II,"(4, 0, 4)","(0, 0, 0, 0)"
17,17,20,HOME APPLIANCES,"(4, 0, 1)","(0, 0, 0, 0)"
18,18,20,HOME CARE,"(3, 1, 0)","(1, 0, 1, 7)"
19,19,20,LADIESWEAR,"(4, 0, 3)","(0, 0, 0, 0)"
20,20,20,LAWN AND GARDEN,"(4, 0, 1)","(0, 0, 0, 0)"
21,21,20,LINGERIE,"(2, 0, 1)","(0, 0, 0, 0)"
22,22,20,"LIQUOR,WINE,BEER","(4, 0, 1)","(0, 0, 0, 0)"
23,23,20,MAGAZINES,"(2, 0, 1)","(0, 0, 0, 0)"
24,24,20,MEATS,"(0, 1, 1)","(2, 0, 2, 7)"
25,25,20,PERSONAL CARE,"(2, 1, 0)","(2, 0, 1, 7)"
26,26,20,PET SUPPLIES,"(0, 1, 1)","(2, 0, 2, 7)"
27,27,20,PLAYERS AND ELECTRONICS,"(3, 1, 1)","(1, 0, 1, 7)"
28,28,20,POULTRY,"(2, 0, 1)","(0, 0, 0, 0)"
29,29,20,PREPARED FOODS,"(1, 1, 2)","(1, 0, 1, 7)"
30,30,20,PRODUCE,"(1, 1, 1)","(2, 0, 1, 7)"
31,31,20,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 4)","(0, 0, 0, 0)"
32,32,20,SEAFOOD,"(3, 1, 2)","(2, 0, 2, 7)"
0,0,21,AUTOMOTIVE,"(4, 1, 1)","(1, 0, 1, 7)"
1,1,21,BABY CARE,"(3, 0, 4)","(0, 0, 0, 0)"
2,2,21,BEAUTY,"(1, 1, 2)","(2, 0, 2, 7)"
3,3,21,BEVERAGES,"(4, 1, 0)","(2, 0, 1, 7)"
4,4,21,BOOKS,-1,-1
5,5,21,BREAD/BAKERY,"(1, 1, 1)","(1, 0, 2, 7)"
6,6,21,CELEBRATION,"(3, 1, 4)","(2, 0, 2, 7)"
7,7,21,CLEANING,"(2, 1, 2)","(1, 0, 2, 7)"
8,8,21,DAIRY,"(1, 1, 0)","(1, 0, 1, 7)"
9,9,21,DELI,"(1, 1, 1)","(1, 0, 1, 7)"
10,10,21,EGGS,"(2, 1, 2)","(1, 0, 2, 7)"
11,11,21,FROZEN FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
12,12,21,GROCERY I,"(4, 1, 0)","(1, 0, 2, 7)"
13,13,21,GROCERY II,"(2, 0, 1)","(0, 0, 0, 0)"
14,14,21,HARDWARE,"(2, 0, 2)","(0, 0, 0, 0)"
15,15,21,HOME AND KITCHEN I,"(1, 1, 4)","(1, 0, 2, 7)"
16,16,21,HOME AND KITCHEN II,"(0, 1, 2)","(1, 0, 1, 7)"
17,17,21,HOME APPLIANCES,"(2, 0, 2)","(0, 0, 0, 0)"
18,18,21,HOME CARE,"(3, 1, 0)","(2, 0, 1, 7)"
19,19,21,LADIESWEAR,"(0, 1, 2)","(2, 0, 1, 7)"
20,20,21,LAWN AND GARDEN,"(1, 0, 2)","(0, 0, 0, 0)"
21,21,21,LINGERIE,"(1, 1, 3)","(2, 0, 2, 7)"
22,22,21,"LIQUOR,WINE,BEER","(1, 1, 2)","(2, 0, 2, 7)"
23,23,21,MAGAZINES,"(1, 1, 1)","(2, 0, 1, 7)"
24,24,21,MEATS,"(2, 1, 3)","(1, 0, 1, 7)"
25,25,21,PERSONAL CARE,"(2, 1, 3)","(2, 0, 2, 7)"
26,26,21,PET SUPPLIES,"(1, 1, 2)","(2, 0, 2, 7)"
27,27,21,PLAYERS AND ELECTRONICS,"(3, 1, 1)","(2, 0, 2, 7)"
28,28,21,POULTRY,"(3, 1, 2)","(2, 0, 1, 7)"
29,29,21,PREPARED FOODS,"(1, 1, 1)","(2, 0, 1, 7)"
30,30,21,PRODUCE,"(2, 1, 0)","(1, 0, 1, 7)"
31,31,21,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 2)","(0, 0, 0, 0)"
32,32,21,SEAFOOD,"(0, 1, 1)","(1, 0, 2, 7)"
0,0,22,AUTOMOTIVE,"(1, 1, 3)","(2, 0, 1, 7)"
1,1,22,BABY CARE,"(3, 0, 2)","(0, 0, 0, 0)"
2,2,22,BEAUTY,"(3, 1, 4)","(1, 0, 1, 7)"
3,3,22,BEVERAGES,"(2, 1, 2)","(1, 0, 1, 7)"
4,4,22,BOOKS,-1,-1
5,5,22,BREAD/BAKERY,"(1, 1, 3)","(2, 0, 2, 7)"
6,6,22,CELEBRATION,"(3, 1, 3)","(2, 0, 2, 7)"
7,7,22,CLEANING,"(1, 1, 2)","(1, 0, 1, 7)"
8,8,22,DAIRY,"(1, 1, 2)","(1, 0, 1, 7)"
9,9,22,DELI,"(1, 1, 4)","(1, 0, 1, 7)"
10,10,22,EGGS,"(1, 1, 2)","(1, 0, 1, 7)"
11,11,22,FROZEN FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
12,12,22,GROCERY I,"(1, 1, 2)","(1, 0, 2, 7)"
13,13,22,GROCERY II,"(2, 0, 4)","(0, 0, 0, 0)"
14,14,22,HARDWARE,"(2, 0, 2)","(0, 0, 0, 0)"
15,15,22,HOME AND KITCHEN I,"(0, 1, 1)","(0, 0, 1, 7)"
16,16,22,HOME AND KITCHEN II,"(2, 1, 4)","(1, 0, 1, 7)"
17,17,22,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,22,HOME CARE,"(1, 1, 3)","(1, 0, 1, 7)"
19,19,22,LADIESWEAR,"(3, 0, 4)","(0, 0, 0, 0)"
20,20,22,LAWN AND GARDEN,"(2, 0, 2)","(0, 0, 0, 0)"
21,21,22,LINGERIE,"(4, 0, 1)","(0, 0, 0, 0)"
22,22,22,"LIQUOR,WINE,BEER","(2, 1, 4)","(2, 0, 2, 7)"
23,23,22,MAGAZINES,"(2, 0, 3)","(0, 0, 0, 0)"
24,24,22,MEATS,"(1, 0, 1)","(0, 0, 0, 0)"
25,25,22,PERSONAL CARE,"(3, 1, 2)","(1, 0, 2, 7)"
26,26,22,PET SUPPLIES,"(0, 1, 2)","(2, 0, 2, 7)"
27,27,22,PLAYERS AND ELECTRONICS,"(4, 1, 4)","(1, 0, 1, 7)"
28,28,22,POULTRY,"(4, 1, 2)","(1, 0, 1, 7)"
29,29,22,PREPARED FOODS,"(1, 1, 2)","(1, 0, 2, 7)"
30,30,22,PRODUCE,"(2, 1, 3)","(1, 0, 2, 7)"
31,31,22,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 3)","(0, 0, 0, 0)"
32,32,22,SEAFOOD,"(2, 1, 2)","(1, 0, 1, 7)"
0,0,23,AUTOMOTIVE,"(1, 0, 1)","(0, 0, 0, 0)"
1,1,23,BABY CARE,-1,-1
2,2,23,BEAUTY,"(1, 0, 2)","(0, 0, 0, 0)"
3,3,23,BEVERAGES,"(4, 0, 4)","(0, 0, 0, 0)"
4,4,23,BOOKS,"(2, 0, 2)","(0, 0, 0, 0)"
5,5,23,BREAD/BAKERY,"(1, 0, 2)","(0, 0, 0, 0)"
6,6,23,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,23,CLEANING,"(2, 0, 0)","(0, 0, 0, 0)"
8,8,23,DAIRY,"(2, 1, 2)","(2, 0, 1, 7)"
9,9,23,DELI,"(3, 0, 4)","(0, 0, 0, 0)"
10,10,23,EGGS,"(1, 0, 2)","(0, 0, 0, 0)"
11,11,23,FROZEN FOODS,"(3, 0, 4)","(0, 0, 0, 0)"
12,12,23,GROCERY I,"(1, 0, 3)","(0, 0, 0, 0)"
13,13,23,GROCERY II,"(3, 0, 4)","(0, 0, 0, 0)"
14,14,23,HARDWARE,"(0, 1, 1)","(0, 0, 0, 7)"
15,15,23,HOME AND KITCHEN I,"(2, 0, 2)","(0, 0, 0, 0)"
16,16,23,HOME AND KITCHEN II,"(4, 0, 2)","(0, 0, 0, 0)"
17,17,23,HOME APPLIANCES,"(2, 0, 2)","(0, 0, 0, 0)"
18,18,23,HOME CARE,"(4, 0, 3)","(0, 0, 0, 0)"
19,19,23,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,23,LAWN AND GARDEN,"(1, 0, 2)","(0, 0, 0, 0)"
21,21,23,LINGERIE,"(1, 0, 1)","(0, 0, 0, 0)"
22,22,23,"LIQUOR,WINE,BEER","(1, 0, 2)","(0, 0, 0, 0)"
23,23,23,MAGAZINES,"(1, 1, 2)","(1, 0, 1, 7)"
24,24,23,MEATS,"(1, 1, 1)","(0, 0, 2, 7)"
25,25,23,PERSONAL CARE,"(3, 0, 2)","(0, 0, 0, 0)"
26,26,23,PET SUPPLIES,"(1, 0, 1)","(0, 0, 0, 0)"
27,27,23,PLAYERS AND ELECTRONICS,"(3, 0, 3)","(0, 0, 0, 0)"
28,28,23,POULTRY,"(0, 1, 1)","(1, 0, 1, 7)"
29,29,23,PREPARED FOODS,"(1, 1, 1)","(1, 0, 1, 7)"
30,30,23,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,23,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 4)","(0, 0, 0, 0)"
32,32,23,SEAFOOD,"(1, 0, 3)","(0, 0, 0, 0)"
0,0,24,AUTOMOTIVE,"(4, 0, 1)","(0, 0, 0, 0)"
1,1,24,BABY CARE,"(2, 0, 2)","(0, 0, 0, 0)"
2,2,24,BEAUTY,"(1, 0, 2)","(0, 0, 0, 0)"
3,3,24,BEVERAGES,"(4, 0, 1)","(0, 0, 0, 0)"
4,4,24,BOOKS,"(4, 0, 3)","(0, 0, 0, 0)"
5,5,24,BREAD/BAKERY,"(4, 0, 1)","(0, 0, 0, 0)"
6,6,24,CELEBRATION,"(2, 1, 1)","(1, 0, 1, 7)"
7,7,24,CLEANING,"(3, 0, 4)","(0, 0, 0, 0)"
8,8,24,DAIRY,"(1, 1, 3)","(1, 0, 1, 7)"
9,9,24,DELI,"(1, 1, 1)","(1, 0, 1, 7)"
10,10,24,EGGS,"(3, 0, 3)","(0, 0, 0, 0)"
11,11,24,FROZEN FOODS,"(1, 0, 2)","(0, 0, 0, 0)"
12,12,24,GROCERY I,"(2, 0, 2)","(0, 0, 0, 0)"
13,13,24,GROCERY II,"(0, 0, 0)","(0, 0, 0, 0)"
14,14,24,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,24,HOME AND KITCHEN I,"(1, 0, 1)","(0, 0, 0, 0)"
16,16,24,HOME AND KITCHEN II,"(2, 0, 2)","(0, 0, 0, 0)"
17,17,24,HOME APPLIANCES,"(3, 0, 3)","(0, 0, 0, 0)"
18,18,24,HOME CARE,"(3, 0, 4)","(0, 0, 0, 0)"
19,19,24,LADIESWEAR,"(3, 0, 4)","(0, 0, 0, 0)"
20,20,24,LAWN AND GARDEN,"(4, 1, 2)","(2, 0, 1, 7)"
21,21,24,LINGERIE,"(1, 0, 4)","(0, 0, 0, 0)"
22,22,24,"LIQUOR,WINE,BEER","(1, 0, 4)","(0, 0, 0, 0)"
23,23,24,MAGAZINES,"(1, 1, 2)","(1, 0, 2, 7)"
24,24,24,MEATS,"(4, 0, 4)","(0, 0, 0, 0)"
25,25,24,PERSONAL CARE,"(1, 0, 2)","(0, 0, 0, 0)"
26,26,24,PET SUPPLIES,"(0, 1, 1)","(1, 0, 1, 7)"
27,27,24,PLAYERS AND ELECTRONICS,"(1, 0, 1)","(0, 0, 0, 0)"
28,28,24,POULTRY,"(4, 0, 4)","(0, 0, 0, 0)"
29,29,24,PREPARED FOODS,"(3, 0, 1)","(0, 0, 0, 0)"
30,30,24,PRODUCE,"(4, 0, 4)","(0, 0, 0, 0)"
31,31,24,SCHOOL AND OFFICE SUPPLIES,"(1, 0, 2)","(0, 0, 0, 0)"
32,32,24,SEAFOOD,"(4, 0, 4)","(0, 0, 0, 0)"
0,0,35,AUTOMOTIVE,"(1, 0, 1)","(0, 0, 0, 0)"
1,1,35,BABY CARE,"(1, 0, 3)","(0, 0, 0, 0)"
2,2,35,BEAUTY,"(1, 0, 1)","(0, 0, 0, 0)"
3,3,35,BEVERAGES,"(3, 1, 2)","(1, 0, 1, 7)"
4,4,35,BOOKS,-1,-1
5,5,35,BREAD/BAKERY,"(2, 0, 1)","(0, 0, 0, 0)"
6,6,35,CELEBRATION,"(2, 0, 3)","(0, 0, 0, 0)"
7,7,35,CLEANING,"(1, 0, 3)","(0, 0, 0, 0)"
8,8,35,DAIRY,"(1, 1, 2)","(1, 0, 1, 7)"
9,9,35,DELI,"(1, 1, 4)","(2, 0, 1, 7)"
10,10,35,EGGS,"(1, 1, 2)","(0, 0, 2, 7)"
11,11,35,FROZEN FOODS,"(2, 0, 1)","(0, 0, 0, 0)"
12,12,35,GROCERY I,"(1, 0, 0)","(0, 0, 0, 0)"
13,13,35,GROCERY II,"(1, 0, 3)","(0, 0, 0, 0)"
14,14,35,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,35,HOME AND KITCHEN I,"(3, 0, 1)","(0, 0, 0, 0)"
16,16,35,HOME AND KITCHEN II,"(1, 0, 2)","(0, 0, 0, 0)"
17,17,35,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,35,HOME CARE,"(4, 0, 3)","(0, 0, 0, 0)"
19,19,35,LADIESWEAR,-1,-1
20,20,35,LAWN AND GARDEN,"(1, 0, 0)","(0, 0, 0, 0)"
